rescue_id,business_id,business_name,business_type,city,country,latitude,longitude,date,food_category,food_item,surplus_items,surplus_kg,original_price,rescue_price,currency,meals_available,meals_rescued,meals_expired,rescue_rate,revenue_recovered_local,revenue_recovered_usd,co2e_avoided_kg,data_type
RES-0000001,UGA-JIN-01,Prime Plate Jinja 01,Caterer,Jinja,Uganda,0.460426,33.231901,2025-07-07,Prepared Meals,Chicken Meal,37,17.18,20270.0,7930.0,UGX,40,35,5,0.875,277550.0,75.01,36.05,Synthetic
RES-0000002,GHA-TAM-01,Urban Cup Tamale 01,Café,Tamale,Ghana,9.331268,-0.838397,2025-04-10,Beverages,Iced Tea,35,12.67,52.0,32.0,GHS,24,14,10,0.5833,448.0,28.9,10.41,Synthetic
RES-0000003,TAN-MWA-01,ValueMart Mwanza 01,Supermarket,Mwanza,Tanzania,-2.457557,32.939358,2025-03-29,Dairy,Milk,51,15.34,25490.0,12050.0,TZS,34,25,9,0.7353,301250.0,115.87,22.97,Synthetic
RES-0000004,RWA-MUS-01,Premier Musanze 01,Hotel,Musanze,Rwanda,-1.520379,29.667569,2025-09-16,Pastries,Meat Pie,73,15.07,9740.0,4570.0,RWF,38,35,3,0.9211,159950.0,110.31,22.6,Synthetic
RES-0000005,NIG-JOS-01,Bean Jos 01,Café,Jos,Nigeria,9.880653,8.860322,2025-05-13,Fruits & Vegetables,Mixed Vegetables,29,16.03,4830.0,1870.0,NGN,38,29,9,0.7632,54230.0,33.89,18.38,Synthetic
RES-0000006,COT-BOU-01,Daily Bouake 01,Bakery,Bouake,Cote d'Ivoire,7.67896,-5.100371,2025-01-30,Beverages,Smoothie,25,11.24,2930.0,1840.0,XOF,21,13,8,0.619,23920.0,39.21,9.01,Synthetic
RES-0000007,UGA-JIN-01,Fresh Jinja 01,Restaurant,Jinja,Uganda,0.400021,33.222046,2025-07-27,Pastries,Muffin,60,10.92,33190.0,18080.0,UGX,29,26,3,0.8966,470080.0,127.05,30.59,Synthetic
RES-0000008,UGA-KAM-01,Fresh Kampala 01,Restaurant,Kampala,Uganda,0.339107,32.622501,2025-11-08,Bakery,Baguette,34,9.53,13050.0,8150.0,UGX,18,13,5,0.7222,105950.0,28.64,13.04,Synthetic
RES-0000009,NIG-ENU-01,Fresh Choice Enugu 01,Supermarket,Enugu,Nigeria,6.497176,7.522911,2025-08-06,Prepared Meals,Pasta Meal,3,1.44,5770.0,3550.0,NGN,3,3,0,1.0,10650.0,6.66,1.93,Synthetic
RES-0000010,GHA-TAK-01,Savanna Takoradi 01,Restaurant,Takoradi,Ghana,4.959837,-1.85021,2025-10-24,Prepared Meals,Local Rice Meal,56,22.27,15.0,6.0,GHS,41,36,5,0.878,216.0,13.94,29.72,Synthetic
RES-0000011,GHA-KUM-01,Celebration Kumasi 01,Caterer,Kumasi,Ghana,6.621819,-1.637728,2025-08-27,Pastries,Sausage Roll,52,8.4,54.0,22.0,GHS,17,9,8,0.5294,198.0,12.77,10.41,Synthetic
RES-0000012,SEN-THI-01,Daily Brew Thies 01,Café,Thies,Senegal,14.838332,-16.920761,2025-07-18,Prepared Meals,Beans & Plantain,3,1.18,2330.0,890.0,XOF,3,3,0,1.0,2670.0,4.38,2.84,Synthetic
RES-0000013,SOU-CAP-01,Sunrise Cape Town 01,Bakery,Cape Town,South Africa,-33.943472,18.341744,2025-07-19,Bakery,Whole Wheat Bread,18,5.15,149.0,85.0,ZAR,13,10,3,0.7692,850.0,47.22,8.21,Synthetic
RES-0000014,TAN-MWA-01,Daily Mwanza 01,Bakery,Mwanza,Tanzania,-2.484165,32.946733,2025-01-30,Bakery,Baguette,26,7.2,24470.0,14710.0,TZS,18,12,6,0.6667,176520.0,67.89,8.16,Synthetic
RES-0000015,GHA-ACC-01,City Market Accra 01,Supermarket,Accra,Ghana,5.559181,-0.179354,2025-04-03,Pastries,Muffin,23,4.44,103.0,59.0,GHS,8,7,1,0.875,413.0,26.65,5.55,Synthetic
RES-0000016,NIG-JOS-01,Fresh Choice Jos 01,Supermarket,Jos,Nigeria,9.960285,8.890677,2025-10-14,Dairy,Yoghurt,22,5.72,2010.0,1280.0,NGN,16,6,10,0.375,7680.0,4.8,5.55,Synthetic
RES-0000017,KEN-NAK-01,Morning Nakuru 01,Bakery,Nakuru,Kenya,-0.305004,36.045572,2025-04-11,Dairy,Custard,3,0.83,859.0,504.0,KES,2,2,0,1.0,1008.0,7.75,1.23,Synthetic
RES-0000018,NIG-POR-01,City Bites Port Harcourt 01,Food Vendor,Port Harcourt,Nigeria,4.855574,7.006533,2025-12-15,Prepared Meals,Jollof Rice,3,1.35,4230.0,1830.0,NGN,3,2,1,0.6667,3660.0,2.29,1.49,Synthetic
RES-0000019,TAN-DAR-01,Kitchen Dar es Salaam 01,Restaurant,Dar es Salaam,Tanzania,-6.777312,39.197935,2025-02-10,Bakery,Dinner Rolls,42,9.62,57620.0,22330.0,TZS,29,25,4,0.8621,558250.0,214.71,14.3,Synthetic
RES-0000020,SOU-DUR-01,Bean Durban 01,Café,Durban,South Africa,-29.828919,31.050632,2025-08-26,Rice & Grains,Millet Pack,73,30.99,31.0,12.0,ZAR,81,53,28,0.6543,636.0,35.33,44.24,Synthetic
RES-0000021,UGA-JIN-01,Grand Jinja 01,Hotel,Jinja,Uganda,0.449458,33.200799,2025-08-16,Prepared Meals,Pasta Meal,77,32.89,30080.0,11500.0,UGX,87,79,8,0.908,908500.0,245.54,80.8,Synthetic
RES-0000022,NIG-KAN-01,Fresh Choice Kano 01,Supermarket,Kano,Nigeria,12.045359,8.608863,2025-08-15,Pastries,Doughnut,33,5.29,4940.0,2650.0,NGN,15,15,0,1.0,39750.0,24.84,12.99,Synthetic
RES-0000023,COT-ABI-01,Savanna Abidjan 01,Restaurant,Abidjan,Cote d'Ivoire,5.397376,-3.963124,2025-06-21,Prepared Meals,Pasta Meal,35,15.37,6810.0,2460.0,XOF,30,16,14,0.5333,39360.0,64.52,15.25,Synthetic
RES-0000024,ETH-BAH-01,Daily Brew Bahir Dar 01,Café,Bahir Dar,Ethiopia,11.534183,37.321467,2025-12-10,Prepared Meals,Chicken Meal,17,8.18,1350.0,730.0,ETB,24,18,6,0.75,13140.0,90.62,11.39,Synthetic
RES-0000025,UGA-ENT-01,Golden Entebbe 01,Restaurant,Entebbe,Uganda,0.105039,32.566082,2025-09-05,Bakery,Dinner Rolls,40,11.19,57900.0,31980.0,UGX,25,18,7,0.72,575640.0,155.58,18.76,Synthetic
RES-0000026,NIG-KAN-01,Urban Cup Kano 01,Café,Kano,Nigeria,11.972139,8.624431,2025-10-08,Pastries,Meat Pie,3,0.53,4900.0,2900.0,NGN,1,1,0,1.0,2900.0,1.81,0.71,Synthetic
RES-0000027,KEN-MOM-01,Urban Cup Mombasa 01,Café,Mombasa,Kenya,-4.030209,39.643703,2025-03-12,Pastries,Croissant,59,10.25,1060.0,450.0,KES,21,10,11,0.4762,4500.0,34.62,7.79,Synthetic
RES-0000028,NIG-LAG-01,Daily Lagos 01,Bakery,Lagos,Nigeria,6.525611,3.388501,2025-04-18,Pastries,Doughnut,24,3.75,6330.0,4090.0,NGN,9,5,4,0.5556,20450.0,12.78,3.49,Synthetic
RES-0000029,NIG-JOS-01,Harvest Jos 01,Restaurant,Jos,Nigeria,9.858722,8.876573,2025-02-24,Prepared Meals,Local Rice Meal,3,1.32,4910.0,2980.0,NGN,3,2,1,0.6667,5960.0,3.72,1.14,Synthetic
RES-0000030,RWA-KIG-01,Civic Kigali 01,Hotel,Kigali,Rwanda,-1.899787,30.101227,2025-12-18,Pastries,Meat Pie,39,7.62,8060.0,3160.0,RWF,24,14,10,0.5833,44240.0,30.51,9.01,Synthetic
RES-0000031,UGA-JIN-01,Daily Jinja 01,Bakery,Jinja,Uganda,0.459801,33.145456,2025-05-27,Bakery,Baguette,44,12.25,13510.0,8130.0,UGX,28,26,2,0.9286,211380.0,57.13,17.56,Synthetic
RES-0000032,COT-ABI-01,Prime Plate Abidjan 01,Caterer,Abidjan,Cote d'Ivoire,5.3547,-4.009552,2025-03-26,Prepared Meals,Fried Rice,55,22.67,9840.0,4320.0,XOF,65,41,24,0.6308,177120.0,290.36,31.73,Synthetic
RES-0000033,NIG-LAG-01,Harvest Lagos 01,Restaurant,Lagos,Nigeria,6.481916,3.357157,2025-02-26,Dairy,Milk,4,1.21,3800.0,1450.0,NGN,2,1,1,0.5,1450.0,0.91,0.63,Synthetic
RES-0000034,GHA-ACC-01,Mama's Accra 01,Food Vendor,Accra,Ghana,5.553024,-0.210341,2025-12-03,Rice & Grains,Maize Meal,8,3.5,85.0,48.0,GHS,7,4,3,0.5714,192.0,12.39,3.48,Synthetic
RES-0000035,KEN-KIS-01,Savanna Kisumu 01,Restaurant,Kisumu,Kenya,-0.062909,34.770094,2025-04-03,Beverages,Soft Drink,14,5.08,953.0,441.0,KES,10,8,2,0.8,3528.0,27.14,4.05,Synthetic
RES-0000036,NIG-ONI-01,Fresh Onitsha 01,Restaurant,Onitsha,Nigeria,6.168249,6.805882,2025-09-16,Prepared Meals,Fried Rice,30,13.3,2270.0,1260.0,NGN,34,11,23,0.3235,13860.0,8.66,9.44,Synthetic
RES-0000037,NIG-ABE-01,ValueMart Abeokuta 01,Supermarket,Abeokuta,Nigeria,7.174713,3.384754,2025-07-17,Fruits & Vegetables,Mangoes,47,23.46,4390.0,2780.0,NGN,57,52,5,0.9123,144560.0,90.35,22.02,Synthetic
RES-0000038,KEN-KIS-01,City Market Kisumu 01,Supermarket,Kisumu,Kenya,-0.092658,34.798287,2025-09-18,Pastries,Doughnut,36,6.91,728.0,458.0,KES,16,8,8,0.5,3664.0,28.18,6.92,Synthetic
RES-0000039,NIG-BEN-01,Quick Bite Benin City 01,Food Vendor,Benin City,Nigeria,6.339317,5.505648,2025-01-17,Prepared Meals,Fried Rice,17,8.15,5730.0,3620.0,NGN,18,13,5,0.7222,47060.0,29.41,11.3,Synthetic
RES-0000040,RWA-KIG-01,Kitchen Kigali 01,Restaurant,Kigali,Rwanda,-1.966033,30.105444,2025-01-22,Prepared Meals,Pasta Meal,19,8.3,2670.0,1380.0,RWF,17,11,6,0.6471,15180.0,10.47,11.95,Synthetic
RES-0000041,GHA-TAK-01,Taste Hub Takoradi 01,Caterer,Takoradi,Ghana,4.937213,-1.809561,2025-02-02,Bakery,Sliced Bread,118,31.19,79.0,44.0,GHS,84,73,11,0.869,3212.0,207.23,69.04,Synthetic
