record_id,m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes,loss_quantity_numeric,sample_size_numeric,loss_pct_valid,has_loss_quantity,has_sample_size,has_source_url,has_activity,has_supply_stage,has_cause_of_loss
20031,566,Nigeria,,0112,Maize (corn),2021,6.42,6.42,,"Drying, Harvesting",Harvest,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20032,566,Nigeria,,0112,Maize (corn),2021,4.58573,4.58573,,Storage,Farm,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20033,566,Nigeria,,0112,Maize (corn),2021,1.32,1.32,,"Shelling, Threshing",,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,False,False
20034,566,Nigeria,,0112,Maize (corn),2021,2.37259,2.37259,,Transportation,Farm,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20035,566,Nigeria,,0112,Maize (corn),2021,4.0,4,,Drying,Farm,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20036,566,Nigeria,,0113,Rice,2021,4.40333,4.40333,,"Drying, Harvesting",Harvest,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20037,566,Nigeria,,0113,Rice,2021,0.980316,0.980316,,Storage,Farm,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20038,566,Nigeria,,0113,Rice,2021,3.13714,3.13714,,"Shelling, Threshing",,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,False,False
20039,566,Nigeria,,0113,Rice,2021,1.25,1.25,,Transportation,Farm,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20040,566,Nigeria,,0113,Rice,2021,2.5,2.5,,Winnowing,Farm,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20041,566,Nigeria,,0114,Sorghum,2021,4.55,4.55,,"Drying, Harvesting",Harvest,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20042,566,Nigeria,,0114,Sorghum,2021,2.59295,2.59295,,Storage,Farm,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20043,566,Nigeria,,0114,Sorghum,2021,3.6,3.6,,"Shelling, Threshing",,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,False,False
20044,566,Nigeria,,0114,Sorghum,2021,2.16667,2.16667,,Transportation,Farm,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20045,566,Nigeria,,0118,Millet,2021,3.5,3.5,,"Drying, Harvesting",Harvest,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20046,566,Nigeria,,0118,Millet,2021,0.793649,0.793649,,Storage,Farm,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20047,566,Nigeria,,0118,Millet,2021,2.0,2,,"Shelling, Threshing",,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,False,False
20048,566,Nigeria,,0118,Millet,2021,2.5,2.5,,Transportation,Farm,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20049,566,Nigeria,,0118,Millet,2021,1.10317,1.10317,,Winnowing,Farm,,,,Modelled Estimates,"APHLIS, (2021), APHLIS",https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv,,,,True,False,False,True,True,True,False
20050,566,Nigeria,,0112,Maize (corn),2020,13.0,13%,,,Whole supply chain,,,,Modelled Estimates,"Galford, Gillian L.; Peña, Olivia; Sullivan, Amanda K.; Nash, Julie; Gurwick, Noel; Pirolli, Gillian; Richards, Meryl; White, Julianna; Wollenberg, Eva, (2020), Agricultural Development Addresses Food Loss And Waste While Reducing Greenhouse Gas Emissions",,Food loss and waste,,,True,False,False,False,False,True,False
20051,566,Nigeria,,0113,Rice,2020,13.0,13%,,,Whole supply chain,,,,Modelled Estimates,"Galford, Gillian L.; Peña, Olivia; Sullivan, Amanda K.; Nash, Julie; Gurwick, Noel; Pirolli, Gillian; Richards, Meryl; White, Julianna; Wollenberg, Eva, (2020), Agricultural Development Addresses Food Loss And Waste While Reducing Greenhouse Gas Emissions",,Food loss and waste,,,True,False,False,False,False,True,False
