observation_id,country,country_code,region,study_area,source,study_year,food_waste_kg_capita_year,latitude,longitude,study_scope,data_confidence,food_waste_kg_capita_month,food_waste_kg_capita_day,data_type,primary_source,source_url,coordinate_note,duplicate_check
FW001,Egypt,EGY,Northern Africa,Gharbiya,Abdallah et al. 2020,2020,182,30.875,31.033,City/region,Medium,15.166666666666666,0.4986301369863014,Observed study datapoint,UNEP Food Waste Index Report 2024,https://wedocs.unep.org/handle/20.500.11822/45230,Study-area centroid/representative coordinate; not household-level GPS,Unique in extracted table
FW002,Egypt,EGY,Northern Africa,Asyout,Abdallah et al. 2020,2020,122,27.18,31.185,City/region,Medium,10.166666666666666,0.33424657534246577,Observed study datapoint,UNEP Food Waste Index Report 2024,https://wedocs.unep.org/handle/20.500.11822/45230,Study-area centroid/representative coordinate; not household-level GPS,Unique in extracted table
FW003,Egypt,EGY,Northern Africa,Kafr El-Sheikh,Abdallah et al. 2020,2020,185,31.11,30.94,City/region,Medium,15.416666666666666,0.5068493150684932,Observed study datapoint,UNEP Food Waste Index Report 2024,https://wedocs.unep.org/handle/20.500.11822/45230,Study-area centroid/representative coordinate; not household-level GPS,Unique in extracted table
FW004,Egypt,EGY,Northern Africa,Qena,Abdallah et al. 2020,2020,207,26.155,32.716,City/region,Medium,17.25,0.5671232876712329,Observed study datapoint,UNEP Food Waste Index Report 2024,https://wedocs.unep.org/handle/20.500.11822/45230,Study-area centroid/representative coordinate; not household-level GPS,Unique in extracted table
FW005,Egypt,EGY,Northern Africa,Alexandria,UN-Habitat 2022a,2022,142,31.2,29.918,City,Medium,11.833333333333334,0.38904109589041097,Observed study datapoint,UNEP Food Waste Index Report 2024,https://wedocs.unep.org/handle/20.500.11822/45230,Study-area centroid/representative coordinate; not household-level GPS,Unique in extracted table
FW006,Egypt,EGY,Northern Africa,Dakahlia,UN-Habitat unpublished,,139,31.04,31.38,Governorate,Medium,11.583333333333334,0.38082191780821917,Observed study datapoint,UNEP Food Waste Index Report 2024,https://wedocs.unep.org/handle/20.500.11822/45230,Study-area centroid/representative coordinate; not household-level GPS,Unique in extracted table
FW007,Libya,LBY,Northern Africa,Tripoli City,Moftah et al. 2016,2016,84,32.887,13.192,City,Medium,7.0,0.23013698630136986,Observed study datapoint,UNEP Food Waste Index Report 2024,https://wedocs.unep.org/handle/20.500.11822/45230,Study-area centroid/representative coordinate; not household-level GPS,Unique in extracted table
FW008,Tunisia,TUN,Northern Africa,Sousse,UN-Habitat 2021b,2021,172,35.825,10.637,City,Medium,14.333333333333334,0.4712328767123288,Observed study datapoint,UNEP Food Waste Index Report 2024,https://wedocs.unep.org/handle/20.500.11822/45230,Study-area centroid/representative coordinate; not household-level GPS,Unique in extracted table
FW009,Botswana,BWA,Sub-Saharan Africa,"Extension 7 Suburb, Palapye",Letshwenyo and Kgetseyamore 2020,2020,71,-22.546,27.126,Suburb,Medium,5.916666666666667,0.19452054794520549,Observed study datapoint,UNEP Food Waste Index Report 2024,https://wedocs.unep.org/handle/20.500.11822/45230,Study-area centroid/representative coordinate; not household-level GPS,Unique in extracted table
FW010,Botswana,BWA,Sub-Saharan Africa,Palapye,Dikole and Letshwenyo 2020,2020,30,-22.546,27.126,Town,Medium,2.5,0.0821917808219178,Observed study datapoint,UNEP Food Waste Index Report 2024,https://wedocs.unep.org/handle/20.500.11822/45230,Study-area centroid/representative coordinate; not household-level GPS,Unique in extracted table
FW011,Democratic Republic of the Congo,COD,Sub-Saharan Africa,Bukavu,UN-Habitat 2021c,2021,62,-2.51,28.86,City,Medium,5.166666666666667,0.16986301369863013,Observed study datapoint,UNEP Food Waste Index Report 2024,https://wedocs.unep.org/handle/20.500.11822/45230,Study-area centroid/representative coordinate; not household-level GPS,Unique in extracted table
FW012,Ethiopia,ETH,Sub-Saharan Africa,"Laga Tafo Laga Dadi town, Oromia",Assefa 2017,2017,92,9.0,38.92,Town,Medium,7.666666666666667,0.25205479452054796,Observed study datapoint,UNEP Food Waste Index Report 2024,https://wedocs.unep.org/handle/20.500.11822/45230,Study-area centroid/representative coordinate; not household-level GPS,Unique in extracted table
